  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 14.36     3.45      3.45    36399     0.09     0.29  Proc#call
  6.24     4.95      1.50    22706     0.07     1.32  Array#each
  4.95     6.14      1.19     2074     0.57     3.98  Hash#each
  4.41     7.20      1.06    24725     0.04     0.07  Numeric#to_px
  3.45     8.03      0.83     3256     0.25     0.79  Widget::Background::Colored.draw_background
  3.20     8.80      0.77    20873     0.04     0.17  Gosu::Window#transform
  2.46     9.39      0.59    24721     0.02     0.81  Gosu::Window#translate
  2.21     9.92      0.53      592     0.90     5.66  Gosu::Window#flush
  2.16    10.44      0.52     3281     0.16     0.35  Integer#times
  1.96    10.91      0.47    64408     0.01     0.01  CP::Body#p
  1.79    11.34      0.43    28887     0.01     0.02  Hash#[]
  1.75    11.76      0.42     8584     0.05     0.07  CP::Shape::Poly#static?
  1.71    12.17      0.41     7104     0.06     0.13  Camera::TrimetricCamera::TrimetricQueue#draw
  1.62    12.56      0.39    58508     0.01     0.01  Float#+
  1.58    12.94      0.38    52194     0.01     0.01  CP::Vec2#y
  1.54    13.31      0.37     3800     0.10     0.41  Hash#each_key
  1.46    13.66      0.35     3852     0.09     0.16  CP::Vec2#to_screen
  1.41    14.00      0.34    52189     0.01     0.01  CP::Vec2#x
  1.21    14.29      0.29     3256     0.09     0.57  CP::Space#bb_query
  1.21    14.58      0.29       10    29.00    29.00  Gosu::Image#initialize
  1.12    14.85      0.27     4154     0.06     0.09  Widget::Div#render_x
  1.04    15.10      0.25     2960     0.08     0.33  StaticObject#draw_billboarded
  1.04    15.35      0.25     2960     0.08     0.19  StaticObject#draw_trimetric
  1.04    15.60      0.25     4154     0.06     0.09  Widget::Div#render_y
  1.00    15.84      0.24    30745     0.01     0.01  CP::Shape.body
  1.00    16.08      0.24    24749     0.01     0.01  Float#to_i
  0.96    16.31      0.23     7720     0.03     0.30  Class#new
  0.96    16.54      0.23    29039     0.01     0.01  Array#[]
  0.92    16.76      0.22     1480     0.15     0.95  Widget::Label#draw
  0.92    16.98      0.22    24728     0.01     0.01  Physics.scale
  0.87    17.19      0.21    22057     0.01     0.01  Fixnum#-@
  0.83    17.39      0.20      592     0.34     1.67  WeaponIndicator#draw
  0.79    17.58      0.19     3256     0.06     0.19  InputType::BasicInput#update
  0.75    17.76      0.18    23748     0.01     0.01  Array#<<
  0.75    17.94      0.18    21169     0.01     0.01  Array#clear
  0.71    18.11      0.17        1   170.00 23270.00  Gosu::Window#show_internal
  0.67    18.27      0.16     9768     0.02     0.02  Gosu::Window#draw_quad
  0.58    18.41      0.14     3269     0.04     0.41  CP::Shape::Poly#each_vertex_absolute
  0.58    18.55      0.14      262     0.53     1.30  Kernel.require
  0.58    18.69      0.14     3852     0.04     0.04  Set#include?
  0.54    18.82      0.13     3800     0.03     0.45  Set#each
  0.50    18.94      0.12     3256     0.04     0.09  InputType::BasicInput#next_state
  0.50    19.06      0.12    26985     0.00     0.00  Float#*
  0.50    19.18      0.12      592     0.20    13.51  Gosu::Window#scale
  0.46    19.29      0.11    13080     0.01     0.01  CP::Shape::Poly#vert
  0.46    19.40      0.11     3552     0.03     0.04  Camera::TrimetricCamera#draw_billboarded
  0.46    19.51      0.11     3256     0.03     0.04  InputType::BasicInput#transition_to
  0.42    19.61      0.10     7992     0.01     0.01  Gosu::Image#gl_tex_info
  0.42    19.71      0.10    13080     0.01     0.01  CP::Body#local2world
  0.37    19.80      0.09     2960     0.03     0.38  Building#draw_billboarded
  0.37    19.89      0.09     7104     0.01     0.14  Camera::TrimetricCamera#draw_trimetric
  0.33    19.97      0.08     3256     0.02     0.21  InputType::Action#update
  0.33    20.05      0.08     1554     0.05     0.07  Slope#height_at
  0.29    20.12      0.07      888     0.08     0.18  Widget::Label#text=
  0.29    20.19      0.07     1759     0.04     0.04  Gosu::Font#draw
  0.29    20.26      0.07     7634     0.01     0.01  Float#hash
  0.29    20.33      0.07        8     8.75     8.75  Gosu::Font#text_width
  0.29    20.40      0.07      592     0.12     0.15  Statistics.hp
  0.29    20.47      0.07     9071     0.01     0.01  Float#==
  0.29    20.54      0.07      296     0.24     1.32  Physics::Space#vertical_integration
